date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:46:36	105535/105535	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Feb%202022%2012:43:15%20GMT	https://www.duoback.co.kr/goods/catalog?category=000100020005	D:/gowoon/duoback/www.duoback.co.kr/goods/catalog65f8.html	(from https://www.duoback.co.kr/goods/catalog?code=00010002)
21:46:36	105563/105563	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Feb%202022%2012:43:15%20GMT	https://www.duoback.co.kr/goods/catalog?category=000100020008	D:/gowoon/duoback/www.duoback.co.kr/goods/cataloge2cc.html	(from https://www.duoback.co.kr/goods/catalog?code=00010002)
21:46:37	105563/105563	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Feb%202022%2012:43:16%20GMT	https://www.duoback.co.kr/goods/catalog?category=000100020006	D:/gowoon/duoback/www.duoback.co.kr/goods/catalog6c3d.html	(from https://www.duoback.co.kr/goods/catalog?code=00010002)
21:46:38	105549/105549	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Feb%202022%2012:43:17%20GMT	https://www.duoback.co.kr/goods/catalog?category=000100020018	D:/gowoon/duoback/www.duoback.co.kr/goods/catalogc1a9.html	(from https://www.duoback.co.kr/goods/catalog?code=00010002)
21:46:38	105542/105542	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Feb%202022%2012:43:17%20GMT	https://www.duoback.co.kr/goods/catalog?category=000100020011	D:/gowoon/duoback/www.duoback.co.kr/goods/catalog66b8.html	(from https://www.duoback.co.kr/goods/catalog?code=00010002)
21:46:39	105535/105535	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Feb%202022%2012:43:18%20GMT	https://www.duoback.co.kr/goods/catalog?category=000100020021	D:/gowoon/duoback/www.duoback.co.kr/goods/catalog18e1.html	(from https://www.duoback.co.kr/goods/catalog?code=00010002)
21:46:39	105559/105559	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Feb%202022%2012:43:18%20GMT	https://www.duoback.co.kr/goods/catalog?category=000100020010	D:/gowoon/duoback/www.duoback.co.kr/goods/catalog58fb.html	(from https://www.duoback.co.kr/goods/catalog?code=00010002)
21:46:40	105570/105570	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Feb%202022%2012:43:19%20GMT	https://www.duoback.co.kr/goods/catalog?category=000100020020	D:/gowoon/duoback/www.duoback.co.kr/goods/catalog2f0b.html	(from https://www.duoback.co.kr/goods/catalog?code=00010002)
21:46:41	105566/105566	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Feb%202022%2012:43:20%20GMT	https://www.duoback.co.kr/goods/catalog?category=000100020019	D:/gowoon/duoback/www.duoback.co.kr/goods/catalog0487.html	(from https://www.duoback.co.kr/goods/catalog?code=00010002)
21:46:41	0/-1	---M--	307	error ('')			https://www.duoback.co.kr/main/index	D:/gowoon/duoback/www.duoback.co.kr/main/index.3fb.delayed	(from https://www.duoback.co.kr/goods/catalog?code=00010002)
